BenchmarkName,DiskName,Test,Replica,file_size_in,reg_size_in,sequential_write (KB/s),random_write(KB/s),random_rewrite(KB/s),random_read(KB/s),time(s),timestamp(s),sequential_read (KB/s)
DD,/mnt/md5/archivo_salida,1,1,1024,1024,,0,0,0,3.72861,2023-06-03 18:26:40,
DD,/mnt/md5/archivo_salida,1,2,1024,1024,154624.0,0,0,0,28.5316,2023-06-03 18:27:09,154624.0
DD,/mnt/md5/archivo_salida,1,3,1024,1024,150528.0,0,0,0,29.2172,2023-06-03 18:27:39,150528.0
DD,/mnt/md5/archivo_salida,1,4,1024,1024,168960.0,0,0,0,26.0932,2023-06-03 18:28:06,168960.0
DD,/mnt/md5/archivo_salida,1,5,1024,1024,151552.0,0,0,0,29.0876,2023-06-03 18:28:35,151552.0
DD,/mnt/md5/archivo_salida,2,1,1024,1024,171008.0,0,0,0,51.3609,2023-06-03 18:29:27,171008.0
DD,/mnt/md5/archivo_salida,2,2,1024,1024,154624.0,0,0,0,56.8635,2023-06-03 18:30:25,154624.0
DD,/mnt/md5/archivo_salida,2,3,1024,1024,152576.0,0,0,0,57.5043,2023-06-03 18:31:23,152576.0
DD,/mnt/md5/archivo_salida,2,4,1024,1024,153600.0,0,0,0,57.0873,2023-06-03 18:32:21,153600.0
DD,/mnt/md5/archivo_salida,2,5,1024,1024,155648.0,0,0,0,56.6063,2023-06-03 18:33:19,155648.0
DD,/mnt/md5/archivo_salida,3,1,1024,1024,154624.0,0,0,0,114.055,2023-06-03 18:35:14,154624.0
DD,/mnt/md5/archivo_salida,3,2,1024,1024,150528.0,0,0,0,116.675,2023-06-03 18:37:12,150528.0
DD,/mnt/md5/archivo_salida,3,3,1024,1024,156672.0,0,0,0,112.294,2023-06-03 18:39:06,156672.0
DD,/mnt/md5/archivo_salida,3,4,1024,1024,156672.0,0,0,0,112.039,2023-06-03 18:41:00,156672.0
DD,/mnt/md5/archivo_salida,3,5,1024,1024,157696.0,0,0,0,111.272,2023-06-03 18:42:53,157696.0
DD,/mnt/md5/archivo_salida,4,1,4096,4096,154624.0,0,0,0,113.62,2023-06-03 18:44:49,154624.0
DD,/mnt/md5/archivo_salida,4,2,4096,4096,155648.0,0,0,0,113.169,2023-06-03 18:46:44,155648.0
DD,/mnt/md5/archivo_salida,4,3,4096,4096,153600.0,0,0,0,114.201,2023-06-03 18:48:40,153600.0
DD,/mnt/md5/archivo_salida,4,4,4096,4096,152576.0,0,0,0,115.391,2023-06-03 18:50:37,152576.0
DD,/mnt/md5/archivo_salida,4,5,4096,4096,148480.0,0,0,0,118.093,2023-06-03 18:52:37,148480.0
DD,/mnt/md5/archivo_salida,5,1,4096,4096,158720.0,0,0,0,221.841,2023-06-03 18:56:20,158720.0
DD,/mnt/md5/archivo_salida,5,2,4096,4096,158720.0,0,0,0,221.155,2023-06-03 19:00:05,158720.0
DD,/mnt/md5/archivo_salida,5,3,4096,4096,159744.0,0,0,0,220.214,2023-06-03 19:03:48,159744.0
DD,/mnt/md1/archivo_salida,1,1,1024,1024,,0,0,0,3.75636,2023-06-04 02:06:45,
DD,/mnt/md1/archivo_salida,1,2,1024,1024,121856.0,0,0,0,36.1956,2023-06-04 02:07:22,121856.0
DD,/mnt/md1/archivo_salida,1,3,1024,1024,116736.0,0,0,0,37.7148,2023-06-04 02:08:00,116736.0
DD,/mnt/md1/archivo_salida,1,4,1024,1024,116736.0,0,0,0,37.7132,2023-06-04 02:08:38,116736.0
DD,/mnt/md1/archivo_salida,1,5,1024,1024,115712.0,0,0,0,37.8701,2023-06-04 02:09:16,115712.0
DD,/mnt/md1/archivo_salida,2,1,1024,1024,693248.0,0,0,0,12.6796,2023-06-04 02:09:30,693248.0
DD,/mnt/md1/archivo_salida,2,2,1024,1024,117760.0,0,0,0,74.6203,2023-06-04 02:11:45,117760.0
DD,/mnt/md1/archivo_salida,2,3,1024,1024,118784.0,0,0,0,74.3219,2023-06-04 02:13:00,118784.0
DD,/mnt/md1/archivo_salida,2,4,1024,1024,118784.0,0,0,0,74.1917,2023-06-04 02:14:15,118784.0
DD,/mnt/md1/archivo_salida,2,5,1024,1024,171008.0,0,0,0,51.4126,2023-06-04 02:15:08,171008.0
DD,/mnt/md1/archivo_salida,3,1,1024,1024,121856.0,0,0,0,144.283,2023-06-04 02:17:57,121856.0
DD,/mnt/md1/archivo_salida,3,2,1024,1024,121856.0,0,0,0,144.664,2023-06-04 02:20:23,121856.0
DD,/mnt/md1/archivo_salida,3,3,1024,1024,118784.0,0,0,0,148.555,2023-06-04 02:22:54,118784.0
DD,/mnt/md1/archivo_salida,3,4,1024,1024,313344.0,0,0,0,56.0849,2023-06-04 02:23:52,313344.0
DD,/mnt/md1/archivo_salida,3,5,1024,1024,110592.0,0,0,0,159.171,2023-06-04 02:28:09,110592.0
DD,/mnt/md1/archivo_salida,4,1,4096,4096,116736.0,0,0,0,150.912,2023-06-04 02:30:42,116736.0
DD,/mnt/md1/archivo_salida,4,2,4096,4096,115712.0,0,0,0,152.157,2023-06-04 02:33:15,115712.0
DD,/mnt/md1/archivo_salida,4,3,4096,4096,123904.0,0,0,0,142.401,2023-06-04 02:35:40,123904.0
DD,/mnt/md1/archivo_salida,4,4,4096,4096,114688.0,0,0,0,153.584,2023-06-04 02:38:22,114688.0
DD,/mnt/md1/archivo_salida,4,5,4096,4096,115712.0,0,0,0,152.174,2023-06-04 02:40:56,115712.0
DD,/mnt/md1/archivo_salida,5,1,4096,4096,118784.0,0,0,0,296.444,2023-06-04 02:45:54,118784.0
