Benchmark,Disk,file_size_in,reg_size_in,random_write(KB/s),random_rewrite(KB/s),random_read(KB/s),random
iozone,/dev/md0,20480,4,31752,56634,58794,58503,0:00:01.876206
iozone,/dev/md0,20480,8,85181,81608,88588,95707,0:00:01.121007
iozone,/dev/md0,20480,16,101108,109281,120837,130120,0:00:00.875781
iozone,/dev/md0,19456,4,50611,53130,58515,58429,0:00:01.540379
iozone,/dev/md0,19456,8,77005,78945,43924,95321,0:00:01.302695
iozone,/dev/md0,19456,16,113041,91098,119061,128870,0:00:00.837534
iozone,/dev/md0,18432,4,51386,52543,58741,58451,0:00:01.448005
iozone,/dev/md0,18432,8,76614,78437,88726,84312,0:00:01.021037
iozone,/dev/md0,18432,16,119683,112791,125290,128830,0:00:00.736456
iozone,/dev/md0,17408,4,53797,50596,58444,58330,0:00:01.389694
iozone,/dev/md0,17408,8,89553,86302,90710,94526,0:00:00.924056
iozone,/dev/md0,17408,16,107857,111614,120794,127646,0:00:00.734162
iozone,/dev/md0,16384,4,53603,51885,57368,57854,0:00:01.322878
iozone,/dev/md0,16384,8,75500,86843,85243,84468,0:00:00.925322
iozone,/dev/md0,16384,16,91123,106954,118923,135786,0:00:00.724317
iozone,/dev/md0,8192,4,53616,46427,51444,48851,0:00:00.872219
iozone,/dev/md0,8192,8,57767,66556,73589,69178,0:00:00.613285
iozone,/dev/md0,8192,16,100144,93076,87780,81492,0:00:00.505973
