Benchmark,Disk,Test,Replica,file_size_in,reg_size_in,random_write(KB/s),random_rewrite(KB/s),random_read(KB/s),random
iozone,/dev/md5,1,1,20480,4,24399,25304,43967,56606,0:00:02.618227
iozone,/dev/md5,2,1,20480,8,30584,32791,61295,85845,0:00:01.991105
iozone,/dev/md5,3,1,20480,16,34749,34999,120154,94962,0:00:01.692714
iozone,/dev/md5,4,1,19456,4,23981,25745,49953,50795,0:00:02.461305
iozone,/dev/md5,5,1,19456,8,30261,29331,61698,85507,0:00:01.986376
iozone,/dev/md5,6,1,19456,16,34600,33491,112278,91320,0:00:01.658894
iozone,/dev/md5,7,1,18432,4,25251,24085,43512,55809,0:00:02.372739
iozone,/dev/md5,8,1,18432,8,29940,32596,71077,76998,0:00:01.802862
iozone,/dev/md5,9,1,18432,16,33910,35421,98165,100598,0:00:01.561551
iozone,/dev/md5,10,1,17408,4,24673,24008,48630,57357,0:00:02.231397
iozone,/dev/md5,11,1,17408,8,32396,31861,65535,85227,0:00:01.699868
iozone,/dev/md5,12,1,17408,16,33270,34681,111994,106430,0:00:01.469755
iozone,/dev/md5,13,1,16384,4,21875,24154,56353,49151,0:00:02.200595
iozone,/dev/md5,14,1,16384,8,30216,31972,88734,66296,0:00:01.613258
iozone,/dev/md5,15,1,16384,16,33742,35753,111492,129080,0:00:01.332980
iozone,/dev/md5,16,1,8192,4,22372,20492,47422,44597,0:00:01.262125
iozone,/dev/md5,17,1,8192,8,25002,30212,48989,72597,0:00:01.006804
iozone,/dev/md5,18,1,8192,16,28880,30736,70896,89465,0:00:00.886432
iozone,/dev/md1,1,1,20480,4,41528,43804,52419,62276,0:00:01.832442
iozone,/dev/md1,2,1,20480,8,67630,66049,99537,93070,0:00:01.185009
iozone,/dev/md1,3,1,20480,16,89897,89767,121418,123985,0:00:00.952494
iozone,/dev/md1,4,1,19456,4,41581,42697,61430,56958,0:00:01.704000
iozone,/dev/md1,5,1,19456,8,65634,60517,96286,100378,0:00:01.161770
iozone,/dev/md1,6,1,19456,16,88286,80115,118437,102399,0:00:00.954596
iozone,/dev/md1,7,1,18432,4,39605,39190,55838,62198,0:00:01.690795
iozone,/dev/md1,8,1,18432,8,70987,63072,99098,85121,0:00:01.087837
iozone,/dev/md1,9,1,18432,16,86999,88435,123935,106393,0:00:00.885226
iozone,/dev/md1,10,1,17408,4,40955,41962,60580,59520,0:00:01.540779
iozone,/dev/md1,11,1,17408,8,62755,66572,98823,85705,0:00:01.070478
iozone,/dev/md1,12,1,17408,16,84848,76128,120554,117261,0:00:00.867990
iozone,/dev/md1,13,1,16384,4,42164,39459,57204,57512,0:00:01.505502
iozone,/dev/md1,14,1,16384,8,65039,60954,92213,100708,0:00:01.022136
iozone,/dev/md1,15,1,16384,16,84963,84142,123206,116737,0:00:00.794084
iozone,/dev/md1,16,1,8192,4,37704,35782,59901,50126,0:00:00.915693
iozone,/dev/md1,17,1,8192,8,53602,50043,93573,94937,0:00:00.632189
iozone,/dev/md1,18,1,8192,16,88167,49847,118686,124699,0:00:00.543273
iozone,/dev/md0,1,1,20480,4,52235,53328,59099,59130,0:00:01.586414
iozone,/dev/md0,2,1,20480,8,78839,82939,89032,89056,0:00:01.105035
iozone,/dev/md0,3,1,20480,16,100505,109089,131453,126724,0:00:00.841539
iozone,/dev/md0,4,1,19456,4,54785,51062,60784,58653,0:00:01.516513
iozone,/dev/md0,5,1,19456,8,73781,82518,88141,95384,0:00:01.061630
iozone,/dev/md0,6,1,19456,16,115220,99347,124514,129042,0:00:00.820892
iozone,/dev/md0,7,1,18432,4,51279,55488,58385,57957,0:00:01.450570
iozone,/dev/md0,8,1,18432,8,75085,88704,84150,94751,0:00:00.998841
iozone,/dev/md0,9,1,18432,16,108943,114321,122220,127567,0:00:00.766328
iozone,/dev/md0,10,1,17408,4,50959,54874,57966,58239,0:00:01.388775
iozone,/dev/md0,11,1,17408,8,76410,80523,86114,98460,0:00:00.957086
iozone,/dev/md0,12,1,17408,16,114484,110842,121918,126495,0:00:00.726160
iozone,/dev/md0,13,1,16384,4,53446,50147,58049,58032,0:00:01.321602
iozone,/dev/md0,14,1,16384,8,83644,77531,83539,93718,0:00:00.913047
iozone,/dev/md0,15,1,16384,16,119732,107145,119487,119736,0:00:00.704221
iozone,/dev/md0,16,1,8192,4,50863,44628,51649,51363,0:00:00.804484
iozone,/dev/md0,17,1,8192,8,50400,63591,70149,91010,0:00:00.620815
iozone,/dev/md0,18,1,8192,16,100656,71386,89988,112151,0:00:00.492703
