Benchmark,Disk,Test,Replica,file_size_in,reg_size_in,random_write(KB/s),random_rewrite(KB/s),random_read(KB/s),random-reread,time,timestamp
iozone,/dev/md0,1,1,20480,4,27502,36948,56113,59129,0:00:02.151923,2023-06-02 23:56:35.269339
iozone,/dev/md0,2,1,20480,8,61043,52011,86043,92196,0:00:01.329829,2023-06-02 23:56:36.599487
iozone,/dev/md0,3,1,20480,16,93916,83249,113196,144910,0:00:00.918081,2023-06-02 23:56:37.517692
iozone,/dev/md0,4,1,19456,4,41156,34831,55995,60689,0:00:01.836014,2023-06-02 23:56:39.353882
iozone,/dev/md0,5,1,19456,8,65241,66409,89627,89524,0:00:01.180769,2023-06-02 23:56:40.534839
iozone,/dev/md0,6,1,19456,16,91627,89942,118003,139415,0:00:00.885516,2023-06-02 23:56:41.420573
iozone,/dev/md0,7,1,18432,4,43923,33368,55409,61447,0:00:01.733874,2023-06-02 23:56:43.154628
iozone,/dev/md0,8,1,18432,8,61580,54258,90203,89635,0:00:01.178900,2023-06-02 23:56:44.333716
iozone,/dev/md0,9,1,18432,16,84668,95800,113134,140348,0:00:00.861907,2023-06-02 23:56:45.195807
iozone,/dev/md0,10,1,17408,4,33880,34223,56650,62176,0:00:01.730272,2023-06-02 23:56:46.926265
iozone,/dev/md0,11,1,17408,8,60529,50005,81229,93579,0:00:01.184665,2023-06-02 23:56:48.111104
iozone,/dev/md0,12,1,17408,16,86999,80241,115242,126794,0:00:00.874770,2023-06-02 23:56:48.986052
iozone,/dev/md0,13,1,16384,4,40016,34263,54373,60963,0:00:01.587642,2023-06-02 23:56:50.573868
iozone,/dev/md0,14,1,16384,8,59835,65638,90503,87914,0:00:01.028653,2023-06-02 23:56:51.602700
iozone,/dev/md0,15,1,16384,16,70612,77983,113458,126691,0:00:00.846448,2023-06-02 23:56:52.449324
iozone,/dev/md0,16,1,8192,4,25764,21003,46577,57477,0:00:01.170069,2023-06-02 23:56:53.619586
iozone,/dev/md0,17,1,8192,8,43849,33122,82320,73745,0:00:00.778679,2023-06-02 23:56:54.398443
iozone,/dev/md0,18,1,8192,16,54653,73300,102632,111172,0:00:00.559185,2023-06-02 23:56:54.957806
iozone,/dev/md0,1,1,20480,4,33895,35773,56036,62592,0:00:02.006542,2023-06-03 00:04:57.136314
