Benchmark,Disk,Test,Replica,file_size_in,reg_size_in,random_write(KB/s),random_rewrite(KB/s),random-reread,time,timestamp
iozone,/dev/md5,1,1,64,1,64,1,5,0:00:00.096922,2023-06-03 02:01:48.380238
iozone,/dev/md5,1,2,64,1,64,1,5,0:00:00.099634,2023-06-03 02:01:48.480113
iozone,/dev/md5,1,3,64,1,64,1,5,0:00:00.086360,2023-06-03 02:01:48.566663
iozone,/dev/md5,2,1,64,1,64,1,5,0:00:00.101432,2023-06-03 02:01:48.668272
iozone,/dev/md5,2,2,64,1,64,1,5,0:00:00.098529,2023-06-03 02:01:48.766980
iozone,/dev/md5,2,3,64,1,64,1,5,0:00:00.088173,2023-06-03 02:01:48.855334
iozone,/dev/md5,3,1,64,1,64,1,5,0:00:00.088623,2023-06-03 02:01:48.944132
iozone,/dev/md5,3,2,64,1,64,1,5,0:00:00.104367,2023-06-03 02:01:49.048681
iozone,/dev/md5,3,3,64,1,64,1,5,0:00:00.088049,2023-06-03 02:01:49.136903
iozone,/dev/md5,4,1,64,4,64,4,5,0:00:00.086018,2023-06-03 02:01:49.223100
iozone,/dev/md5,4,2,64,4,64,4,5,0:00:00.087663,2023-06-03 02:01:49.310929
iozone,/dev/md5,4,3,64,4,64,4,5,0:00:00.087352,2023-06-03 02:01:49.398478
iozone,/dev/md5,5,1,64,4,64,4,5,0:00:00.078303,2023-06-03 02:01:49.476962
iozone,/dev/md5,5,2,64,4,64,4,5,0:00:00.087605,2023-06-03 02:01:49.564734
iozone,/dev/md5,5,3,64,4,64,4,5,0:00:00.085943,2023-06-03 02:01:49.650847
iozone,/dev/md5,6,1,64,4,64,4,5,0:00:00.088417,2023-06-03 02:01:49.739483
iozone,/dev/md5,6,2,64,4,64,4,5,0:00:00.086895,2023-06-03 02:01:49.826549
iozone,/dev/md5,6,3,64,4,64,4,5,0:00:00.087954,2023-06-03 02:01:49.914675
iozone,/dev/md5,7,1,64,8,64,8,5,0:00:00.078924,2023-06-03 02:01:49.993776
iozone,/dev/md5,7,2,64,8,64,8,5,0:00:00.086938,2023-06-03 02:01:50.080881
iozone,/dev/md5,7,3,64,8,64,8,5,0:00:00.079659,2023-06-03 02:01:50.160710
iozone,/dev/md5,8,1,64,8,64,8,5,0:00:00.080018,2023-06-03 02:01:50.240903
iozone,/dev/md5,8,2,64,8,64,8,5,0:00:00.079904,2023-06-03 02:01:50.320976
iozone,/dev/md5,8,3,64,8,64,8,5,0:00:00.080134,2023-06-03 02:01:50.401282
iozone,/dev/md5,9,1,64,8,64,8,5,0:00:00.079746,2023-06-03 02:01:50.481208
iozone,/dev/md5,9,2,64,8,64,8,5,0:00:00.079653,2023-06-03 02:01:50.561029
iozone,/dev/md5,9,3,64,8,64,8,5,0:00:00.086134,2023-06-03 02:01:50.647333
iozone,/dev/md5,10,1,64,16,64,16,5,0:00:00.088304,2023-06-03 02:01:50.735813
iozone,/dev/md5,10,2,64,16,64,16,5,0:00:00.086126,2023-06-03 02:01:50.822119
iozone,/dev/md5,10,3,64,16,64,16,5,0:00:00.087290,2023-06-03 02:01:50.909583
iozone,/dev/md5,11,1,64,16,64,16,5,0:00:00.087210,2023-06-03 02:01:50.996974
iozone,/dev/md5,11,2,64,16,64,16,5,0:00:00.086825,2023-06-03 02:01:51.083967
iozone,/dev/md5,11,3,64,16,64,16,5,0:00:00.087673,2023-06-03 02:01:51.171811
iozone,/dev/md5,12,1,64,16,64,16,5,0:00:00.087805,2023-06-03 02:01:51.259791
iozone,/dev/md5,12,2,64,16,64,16,5,0:00:00.098428,2023-06-03 02:01:51.358388
iozone,/dev/md5,12,3,64,16,64,16,5,0:00:00.088430,2023-06-03 02:01:51.446987
iozone,/dev/md5,13,1,64,32,64,32,5,0:00:00.087063,2023-06-03 02:01:51.534231
iozone,/dev/md5,13,2,64,32,64,32,5,0:00:00.091527,2023-06-03 02:01:51.625927
iozone,/dev/md5,13,3,64,32,64,32,5,0:00:00.086799,2023-06-03 02:01:51.712897
iozone,/dev/md5,14,1,64,32,64,32,5,0:00:00.087134,2023-06-03 02:01:51.800209
iozone,/dev/md5,14,2,64,32,64,32,5,0:00:00.080116,2023-06-03 02:01:51.880493
iozone,/dev/md5,14,3,64,32,64,32,5,0:00:00.079747,2023-06-03 02:01:51.960411
iozone,/dev/md5,15,1,64,32,64,32,5,0:00:00.079838,2023-06-03 02:01:52.040427
iozone,/dev/md5,15,2,64,32,64,32,5,0:00:00.079956,2023-06-03 02:01:52.120550
iozone,/dev/md5,15,3,64,32,64,32,5,0:00:00.079940,2023-06-03 02:01:52.200660
iozone,/dev/md5,16,1,64,64,64,64,5,0:00:00.079727,2023-06-03 02:01:52.280565
iozone,/dev/md5,16,2,64,64,64,64,5,0:00:00.085702,2023-06-03 02:01:52.366435
iozone,/dev/md5,16,3,64,64,64,64,5,0:00:00.079628,2023-06-03 02:01:52.446233
iozone,/dev/md5,17,1,64,64,64,64,5,0:00:00.086278,2023-06-03 02:01:52.532688
iozone,/dev/md5,17,2,64,64,64,64,5,0:00:00.086949,2023-06-03 02:01:52.619806
iozone,/dev/md5,17,3,64,64,64,64,5,0:00:00.079286,2023-06-03 02:01:52.699279
iozone,/dev/md5,18,1,64,64,64,64,5,0:00:00.088045,2023-06-03 02:01:52.787502
