Benchmark,Disk,Test,Replica,file_size_in,reg_size_in,write,rewrite,read,reread,random_reread,random_write(KB/s),bkwd_read,record_rewrite,stride_read,fwrite,"fread,freread",time,timestamp
iozone,/dev/md0,1,1,1024,4,14839,41627,31168,27303,26767,15361,14374,14987,23068,2031864,1479591,3345496,2884840,0:00:00.768159,2023-06-04 17:01:28.626033
iozone,/dev/md0,1,2,1024,4,40498,40303,30100,27689,26505,16095,13733,14929,24822,2645000,2472911,1759651,1432225,0:00:00.715792,2023-06-04 17:01:29.342552
iozone,/dev/md0,1,3,1024,4,40665,43474,31658,27311,27253,15702,13943,15063,24088,2681328,3345496,3725664,3835457,0:00:00.663804,2023-06-04 17:01:30.006599
iozone,/dev/md0,1,4,1024,4,42657,27146,14860,27771,27008,16212,14983,14885,25357,2337008,2869422,4265934,3970183,0:00:00.782675,2023-06-04 17:01:30.789476
iozone,/dev/md0,1,5,1024,4,39152,43963,31343,27043,26362,16128,12607,15170,25564,2774874,2375790,1976691,3764854,0:00:00.665874,2023-06-04 17:01:31.455547
iozone,/dev/md0,2,1,1024,4,42324,42765,31394,27215,26806,16457,12441,14872,25629,2598591,2960401,3970183,3241960,0:00:00.665557,2023-06-04 17:01:32.121332
iozone,/dev/md0,2,2,1024,4,41860,41986,31505,27499,27209,15749,17145,15214,23651,2950233,3345496,4195100,3483896,0:00:00.682138,2023-06-04 17:01:32.803669
iozone,/dev/md0,2,3,1024,4,43305,44039,31065,27599,27009,16484,19823,14957,27121,2337008,2281152,2060128,3345496,0:00:00.632923,2023-06-04 17:01:33.436865
iozone,/dev/md0,2,4,1024,4,37139,37128,32488,31830,27332,15637,16483,15034,25582,2069060,1333093,3358576,3618930,0:00:00.673835,2023-06-04 17:01:34.110884
iozone,/dev/md0,2,5,1024,4,42442,43618,31035,27720,26544,16405,13070,15107,24979,2024203,3130886,4415030,3271594,0:00:00.682478,2023-06-04 17:01:34.793575
iozone,/dev/md0,3,1,1024,4,42877,44344,31974,27198,26520,16071,17815,14768,24766,2746483,1837965,3781427,3481072,0:00:00.682556,2023-06-04 17:01:35.476374
iozone,/dev/md0,3,2,1024,4,43161,43509,31612,27506,27210,15066,17799,15125,25667,1821595,3160839,4904018,4114719,0:00:00.639987,2023-06-04 17:01:36.116504
iozone,/dev/md0,3,3,1024,4,41086,43675,31506,27298,27236,16181,18292,15127,25532,1753186,2529716,4379019,3877004,0:00:00.616023,2023-06-04 17:01:36.732644
iozone,/dev/md0,3,4,1024,4,42307,43946,25088,27868,27306,14987,17027,15154,26582,2008114,1022902,4232305,4029784,0:00:00.657853,2023-06-04 17:01:37.390681
iozone,/dev/md0,3,5,1024,4,43063,43235,31564,27783,27504,15661,17779,15010,25697,2985091,3241960,1780809,1405050,0:00:00.692039,2023-06-04 17:01:38.082910
iozone,/dev/md0,4,1,1024,4,42707,42913,31136,27313,26544,16108,16498,15091,25550,2353657,1151834,1720874,1452078,0:00:00.666285,2023-06-04 17:01:38.749445
iozone,/dev/md0,4,2,1024,4,40697,24207,34103,31914,25690,16007,16630,14981,25092,2240689,2666347,1701108,1412443,0:00:00.725506,2023-06-04 17:01:39.475083
